#{"t_start": 1585122449.347662, "env_id": null}
r,l,t
0.035,1,22.362746
0.435,1,22.373748
0.485,1,22.384747
0.215,1,22.397787
-0.275,1,22.408744
-0.285,1,22.420747
0.31,1,22.430747
-0.05,1,22.442746
-0.11,1,22.453749
-0.575,1,22.465745
-0.1,1,22.476747
0.2,1,22.488748
0.29,1,22.500746
0.295,1,22.51377
-0.135,1,22.525759
0.77,1,22.54075
-0.055,1,22.554749
0.375,1,22.569266
0.5,1,22.580263
0.13,1,22.590264
0.19,1,22.603264
0.02,1,22.614265
0.525,1,22.625264
0.285,1,22.634263
0.74,1,22.644264
0.485,1,22.654263
0.32,1,22.665279
-0.04,1,22.677268
0.025,1,22.689266
0.225,1,22.701264
-0.2,1,22.713263
0.53,1,22.725261
0.165,1,22.736263
0.42,1,22.747262
-0.12,1,22.758261
0.51,1,22.769266
0.555,1,22.779263
0.355,1,22.789265
0.44,1,22.800265
0.215,1,22.812266
0.39,1,22.822263
0.195,1,22.832266
0.325,1,22.843265
0.07,1,22.853265
0.04,1,22.864265
0.015,1,22.874265
-0.015,1,22.885494
0.15,1,22.896282
-0.26,1,22.907264
-0.335,1,22.918263
0.085,1,22.928263
0.435,1,22.939265
-0.195,1,22.950264
0.425,1,22.960384
0.63,1,22.971957
0.72,1,22.981913
-0.07,1,22.992911
-0.155,1,23.003911
0.31,1,23.015909
0.375,1,23.026911
0.23,1,23.03791
-0.17,1,23.04791
0.155,1,23.05891
0.525,1,23.069911
-0.075,1,23.080503
0.645,1,23.090503
0.19,1,23.100504
0.22,1,23.110503
0.175,1,23.121504
0.185,1,23.133504
0.425,1,23.145504
0.33,1,23.156503
-0.13,1,23.168835
-0.065,1,23.1815
-0.01,1,23.194021
0.595,1,23.207021
0.305,1,23.218021
0.445,1,23.230022
0.475,1,23.242021
0.07,1,23.25229
-0.305,1,23.263791
0.4,1,23.273843
0.315,1,23.285501
-0.24,1,23.295378
0.375,1,23.306378
0.14,1,23.317378
0.435,1,23.328378
-0.155,1,23.339383
-0.08,1,23.349378
0.43,1,23.359379
0.19,1,23.763026
-0.12,1,23.776023
0.01,1,23.787776
0.205,1,23.800793
0.475,1,23.813779
-0.03,1,23.824775
0.395,1,23.836778
0.36,1,23.846805
0.17,1,23.857778
0.6,1,23.868828
-0.17,1,23.879753
0.575,1,23.890751
0.375,1,23.900754
0.365,1,23.911751
-0.385,1,23.923832
0.565,1,23.934752
0.495,1,23.94675
0.305,1,23.958753
0.55,1,23.969752
0.08,1,23.979752
0.495,1,23.990755
0.055,1,24.000754
0.295,1,24.010752
0.16,1,24.02175
0.225,1,24.032754
0.28,1,24.044752
0.645,1,24.055753
0.045,1,24.067752
0.655,1,24.078786
-0.33,1,24.088764
0.665,1,24.099764
0.375,1,24.110765
0.08,1,24.121764
0.255,1,24.132764
0.345,1,24.143765
0.56,1,24.154762
-0.05,1,24.167766
0.29,1,24.17883
0.305,1,24.189825
0.035,1,24.200835
0.26,1,24.212834
0.135,1,24.223811
-0.275,1,24.236355
0.155,1,24.249869
0.06,1,24.260466
-0.05,1,24.273464
0.51,1,24.285501
0.34,1,24.297444
0.21,1,24.308461
0.36,1,24.320463
0.24,1,24.331439
0.82,1,24.343462
0.5,1,24.354463
0.525,1,24.365437
0.18,1,24.376436
0.59,1,24.39002
-0.155,1,24.402182
0.29,1,24.411995
0.475,1,24.423031
-0.015,1,24.435023
0.475,1,24.44603
0.18,1,24.45803
0.185,1,24.470021
0.54,1,24.480998
